Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Latitude,Longitude
France,"190,282","185,829","193,882","193,319","193,571","192,369","189,826","196,595","197,522","204,410","206,599","203,302","203,042","207,274","211,998","217,877","117,109",46.698481,2.549047
Spain,"85,981","92,563","96,152","98,907","97,670","91,899","93,744","99,187","98,128","103,231","107,144","109,834","115,561","121,717","124,456","126,170","36,410",40.09095,-3.464618
United States,"67,606","71,484","183,178","175,299","175,703","160,508","162,275","147,271","171,630","179,310","178,311","176,865","175,261","174,292","169,325","165,478","44,792",39.715956,-96.999668
China,"109,038","120,292","124,942","131,873","130,027","126,476","133,762","135,423","132,405","129,078","128,499","133,820","141,774","153,260","158,606","162,538","30,402",32.523743,106.431983
Italy,"58,480","59,230","66,353","70,271","70,719","71,692","73,225","75,866","76,293","76,762","77,694","81,068","84,925","89,931","93,229","95,399","38,419",44.732552,11.077303
Turkey,"17,517","21,125","19,820","27,215","31,138","31,760","32,997","36,769","37,715","39,861","41,627","41,114","30,907","37,970","46,113","51,747","15,971",39.339547,34.51052
Mexico,"99,250","103,146","97,701","93,582","92,948","88,044","81,953","75,732","76,749","78,100","81,042","87,129","94,853","99,349","96,497","97,406","51,128",23.920061,-102.289691
Germany,"20,137","21,500","23,569","24,421","24,884","24,220","26,875","28,374","30,411","31,545","32,999","34,970","35,555","37,452","38,881","39,563","12,449",51.196755,9.62743
Thailand,"11,737","11,567",13822,"14,464","14,584","14,150","15,936","19,230","22,354","26,547","24,810","29,923","32,530","35,592","38,178","39,916","6,700",15.512883,101.301707
United Kingdom,"27,755","29,970","32,713","32,778","31,888","31,072","30,398","31,886","32,221","33,567","35,337","36,792","39,129","41,080","40,283","40,857","11,101",52.418788,-1.247349
Japan,"6,138","6,728","7,334","8,347","8,351","6,790","8,611","6,219","8,358","10,364","13,413","19,737","24,039","28,691","31,191","31,881","4,116",36.13793,138.441899
Austria,"19,374","19,952","20,269","20,773","21,935","21,355","22,004","23,012","24,151","24,813","25,291","26,728","28,121","29,460","30,816","31,884","15,091",47.522617,14.143702
Greece,"14,268","15,938","17,284",..,..,..,..,..,..,"20,112","24,272","26,114","28,071","30,161","33,072","34,005","7,406",39.78331,21.708535
Hong Kong,"21,811","23,359","25,251","28,169","29,507","29,591","36,030","41,921","48,615","54,299","60,839","59,308","56,655","58,472","65,148","55,913","3,569",22.28552,114.15769
Malaysia,"15,703","16,431","17,547","20,973","22,052","23,646","24,577","24,714","25,033","25,715","27,437","25,721","26,757","25,948","25,832","26,101","4,333",2.521947,113.833569
Russia,"22,064","22,201","22,486","22,909","23,676","21,339","22,281","24,932","28,177","30,792","32,421","33,729","24,571","24,390","24,551","24,419","6,359",63.314401,93.884016
Portugal,"10,639","10,612","11,282","6,788","6,962","6,439","6,756","7,264","7,503","9,177","10,497","11,723","13,359","15,432","16,186","17,283","4,208",39.225448,-8.266333
Canada,"38,845","36,160","33,390","30,373","27,370","24,696","25,621","25,066","25,318","25,167","25,558","27,555","30,142","31,081","31,274","32,430","5,068",58.33747,-112.384858
Poland,"61,918","64,606","65,115","66,208","59,935","53,840","58,340","60,745","67,390","72,310","73,750","77,743","80,476","83,804","85,946","88,515","51,076",51.899304,20.388926
Netherlands,"9,646","10,012","10,739","11,008","10,104","9,921","10,883","11,300","11,680","12,783","13,925","15,007","15,828","17,924","18,780","20,129","7,265",52.554205,5.501896
